"Id_SNVeg","n_total","n_sig","prop_sig","parque","escala","mes"
"Crop",2273,0,0,"daimiel",3,11
"Dehesa",2601,0,0,"daimiel",3,11
"Grass",8172,0,0,"daimiel",3,11
"HaloVeg",2543,0,0,"daimiel",3,11
"HydroRipVeg",16350,0,0,"daimiel",3,11
"MedSclF",623,0,0,"daimiel",3,11
"Reforestation",25,0,0,"daimiel",3,11
"RipF",1501,0,0,"daimiel",3,11
"WaterSurf",8869,0,0,"daimiel",3,11
"ArtSurf",247,0,0,"daimiel",3,12
"Crop",2273,0,0,"daimiel",3,12
"Dehesa",2601,0,0,"daimiel",3,12
"Grass",8172,0,0,"daimiel",3,12
"HaloVeg",2543,0,0,"daimiel",3,12
"HydroRipVeg",16350,0,0,"daimiel",3,12
"MedSclF",623,0,0,"daimiel",3,12
"Reforestation",25,0,0,"daimiel",3,12
"RipF",1501,0,0,"daimiel",3,12
"WaterSurf",8869,0,0,"daimiel",3,12
"ArtSurf",247,0,0,"daimiel",6,1
"Crop",2273,0,0,"daimiel",6,1
"Dehesa",2601,0,0,"daimiel",6,1
"Grass",8172,0,0,"daimiel",6,1
"HaloVeg",2543,0,0,"daimiel",6,1
"HydroRipVeg",16350,0,0,"daimiel",6,1
"MedSclF",623,0,0,"daimiel",6,1
"Reforestation",25,0,0,"daimiel",6,1
"RipF",1501,0,0,"daimiel",6,1
"WaterSurf",8869,0,0,"daimiel",6,1
"ArtSurf",247,0,0,"daimiel",6,2
"Crop",2273,0,0,"daimiel",6,2
"Dehesa",2601,0,0,"daimiel",6,2
"Grass",8172,0,0,"daimiel",6,2
"HaloVeg",2543,0,0,"daimiel",6,2
"HydroRipVeg",16350,0,0,"daimiel",6,2
"MedSclF",623,0,0,"daimiel",6,2
"Reforestation",25,0,0,"daimiel",6,2
"RipF",1501,0,0,"daimiel",6,2
"WaterSurf",8869,0,0,"daimiel",6,2
"ArtSurf",247,0,0,"daimiel",6,3
"Crop",2273,0,0,"daimiel",6,3
"Dehesa",2601,0,0,"daimiel",6,3
"Grass",8172,0,0,"daimiel",6,3
"HaloVeg",2543,0,0,"daimiel",6,3
"HydroRipVeg",16350,0,0,"daimiel",6,3
"MedSclF",623,0,0,"daimiel",6,3
"Reforestation",25,0,0,"daimiel",6,3
"RipF",1501,0,0,"daimiel",6,3
"WaterSurf",8869,0,0,"daimiel",6,3
"ArtSurf",247,0,0,"daimiel",6,4
"Crop",2273,0,0,"daimiel",6,4
"Dehesa",2601,0,0,"daimiel",6,4
"Grass",8172,0,0,"daimiel",6,4
"HaloVeg",2543,0,0,"daimiel",6,4
"HydroRipVeg",16350,0,0,"daimiel",6,4
"MedSclF",623,0,0,"daimiel",6,4
"Reforestation",25,0,0,"daimiel",6,4
"RipF",1501,0,0,"daimiel",6,4
"WaterSurf",8869,0,0,"daimiel",6,4
"ArtSurf",247,0,0,"daimiel",6,5
"Crop",2273,0,0,"daimiel",6,5
"Dehesa",2601,0,0,"daimiel",6,5
"Grass",8172,0,0,"daimiel",6,5
"HaloVeg",2543,0,0,"daimiel",6,5
"HydroRipVeg",16350,0,0,"daimiel",6,5
"MedSclF",623,0,0,"daimiel",6,5
"Reforestation",25,0,0,"daimiel",6,5
"RipF",1501,0,0,"daimiel",6,5
"WaterSurf",8869,0,0,"daimiel",6,5
"ArtSurf",247,0,0,"daimiel",6,6
"Crop",2273,0,0,"daimiel",6,6
"Dehesa",2601,0,0,"daimiel",6,6
"Grass",8172,0,0,"daimiel",6,6
"HaloVeg",2543,0,0,"daimiel",6,6
"HydroRipVeg",16350,0,0,"daimiel",6,6
"MedSclF",623,0,0,"daimiel",6,6
"Reforestation",25,0,0,"daimiel",6,6
"RipF",1501,0,0,"daimiel",6,6
"WaterSurf",8869,0,0,"daimiel",6,6
